y,x,I0,bg,y_err,x_err,I0_err,bg_err,H_det,error_flag,snr,rmse,n_iter,y_detect,x_detect,frame,loc_idx,trajectory,subproblem_n_traj,subproblem_n_locs
149.0890636216979,150.72808049978778,35.93573281735831,1.8997109972678963,0.23993060962473992,0.23992912188813498,5.678389807487546,0.1443496888780649,0.0017018050235693034,0.0,32.26812857486009,1.1358054453093593,10.0,149.0,151.0,3,0,0,0,1
149.24835318364754,151.048417708559,37.99166425348966,2.0286264671651164,0.23599876216329976,0.23600019856529048,5.888319766291478,0.14970022972673333,0.0018423951043251314,0.0,22.858966848078513,1.1779335689063615,10.0,149.0,151.0,5,1,1,0,1
162.05493805558638,176.43222220653243,34.73204090145359,2.0757826540293003,0.2551056099950759,0.2551033565387573,5.856309615399925,0.14888427404449062,0.0024612638134026356,0.0,20.92248715148255,1.1715526024977372,10.0,162.0,176.0,10,2,2,0,1
150.51824424976095,149.19701232781966,47.39088144163419,1.9861458525770974,0.23565398692157372,0.23565499067610343,7.351151652577162,0.187029114595558,0.004458559340337682,0.0,30.643249744673714,1.4720874621091018,10.0,151.0,149.0,12,3,3,0,1
150.4204815616853,148.71961196323514,56.73057697839515,1.933800891116153,0.20082156089964293,0.20082194966759767,7.500193333677565,0.19083726162511883,0.0025485859157272743,0.0,57.18428873855657,1.5020999663074492,10.0,150.0,149.0,13,4,3,1,1
113.64308526618498,117.25705921413943,49.26932003336894,2.272586089136742,0.2087111436872673,0.20871161928595947,6.787027648696831,0.1726236735073799,0.0019916118625995455,0.0,33.6754603469536,1.358543379061377,10.0,114.0,117.0,18,5,4,0,1
113.75778175736947,117.62662956879743,41.89455030802236,2.111691507041348,0.2463656946328545,0.2463649672237751,6.819970063287128,0.17346452981907695,0.003942553688111318,0.0,24.53179587572848,1.3651809177481355,10.0,114.0,118.0,19,6,4,1,1
114.0024020596714,117.11007053086101,46.54906140324261,1.7108883272256545,0.2546489416839777,0.2546485323071128,7.86911760660617,0.20026798544083985,0.007987655178488607,0.0,32.91451999586681,1.5763176657485871,10.0,114.0,117.0,20,7,4,1,1
99.46935819182464,161.99819938941354,40.85514513890263,2.2972245834252303,0.27320337008294426,0.27320563507561585,7.320888345907832,0.18625599162484713,0.007922255894518745,0.0,17.1401629779426,1.4659801438730782,10.0,99.0,162.0,21,8,5,0,1
112.94034221685172,116.1781951237633,39.02761172191425,2.2000483718849297,0.2594427431722955,0.2594418555751816,6.69210607083908,0.1702010931487601,0.004493874982375401,0.0,29.670437047898677,1.339396328158911,10.0,113.0,116.0,22,9,8,0,1
173.95810408271902,158.99386819178878,37.40754455956187,1.9925278690798525,0.2393013651915582,0.23930142730913587,5.904362795696281,0.15010921109931738,0.0019689695063609585,0.0,20.06266149355962,1.1811332042037728,10.0,174.0,159.0,22,10,6,0,1
113.41075995287444,116.17761372582507,52.250721782216935,2.178299717619018,0.20057863750786922,0.20057979470300016,6.916535696433186,0.175929630167743,0.0018326605119454201,0.0,54.06512585671521,1.3845976735937857,10.0,113.0,116.0,23,11,8,1,1
113.58789115684878,115.41893749932836,47.67017160331116,1.960722081090417,0.21794184613533976,0.21794394160202313,6.846503978918769,0.17414191012581498,0.002452907536440255,0.0,32.9812387001762,1.3706591401508257,10.0,114.0,116.0,24,12,8,1,1
113.26990343105204,115.72015204004259,34.322074258129,2.1805572985203208,0.29924778126841056,0.29924750252013826,6.790461743852254,0.17271133138090886,0.008433589729922097,0.0,20.627896007784955,1.3592160261221973,10.0,113.0,116.0,25,13,8,1,1
113.74197828470841,116.55191872198156,68.69591934088322,2.062039752350036,0.1543817104841348,0.1543813805387878,6.960580717686414,0.17705411362464743,0.0006597697133900068,0.0,111.54730797332026,1.3934873741457723,10.0,114.0,117.0,26,14,8,1,1
170.00210231394234,182.55488424170835,78.89696404675425,2.085631215027705,0.1298537117206029,0.1298533951525348,6.708710701111142,0.17062489702142322,0.00028488515065115336,0.0,144.9574381022394,1.3428616092761576,10.0,170.0,182.0,26,15,7,0,1
56.61484012075989,71.14642876900838,155.5842579046519,2.43457300089913,0.09118431375096177,0.0911849458996435,9.339145132510662,0.23791166372492745,0.00026122331537865515,0.0,211.55904458993416,1.873264281980469,10.0,57.0,71.0,28,16,9,0,1
113.96090814677656,116.55991118219987,42.54271912929923,2.322017810101397,0.29786924066670273,0.29786662623361454,8.451370308626418,0.21516490091347323,0.019916788547365328,0.0,16.23137251995652,1.6938632643701552,10.0,114.0,117.0,28,17,10,0,1
113.93281904363735,116.48333713198963,52.6031401550327,2.2998472306309092,0.20724552592035853,0.20724406449162067,7.190095236038724,0.18291505620187412,0.002440273460147748,0.0,61.879029358393275,1.4396617637202636,10.0,114.0,116.0,29,18,10,1,1
113.93442992175795,116.15114650211771,43.35504167167739,2.4533394217034807,0.2882243624679294,0.28822369974301415,8.236747916571492,0.20967187335347043,0.015745449815228064,0.0,16.394384354396287,1.6504585789549717,10.0,114.0,116.0,30,19,10,1,1
99.71458591640064,161.42023637744703,36.99520361149617,2.585010373722504,0.2908496113534201,0.29084920344352977,7.107844226158209,0.18081438431905375,0.009039456797369257,0.0,13.7480585597352,1.4231150483469583,10.0,100.0,161.0,32,20,11,0,1
113.17873623933298,115.75798474877756,40.678325846323986,2.2239989170791046,0.2746492808193978,0.27464855601520477,7.413863220888083,0.18863132796887597,0.00851050699702705,0.0,28.669612666518468,1.4846376776427166,10.0,113.0,116.0,32,21,12,0,1
138.72820136718576,95.84715409656364,54.758653839047675,2.332972658450254,0.24025846000024842,0.2402595696892207,8.705835937842611,0.2216806191279206,0.009495934276936168,0.0,41.021912703410294,1.7451884560007571,10.0,139.0,96.0,35,22,13,0,1
112.30342305276798,115.13382238836479,38.90900246009031,2.2845071805305266,0.26850557444677375,0.26850715040667816,6.860583574337369,0.17450126686698164,0.005696229948956414,0.0,16.248938634287864,1.37330363904414,10.0,112.0,115.0,36,23,14,0,1
98.68508556432681,49.90809084795622,44.586525092498995,1.9195695240279174,0.22567893768888353,0.22568061892146662,6.662798723185424,0.16945315000498748,0.0025281652497908718,0.0,41.50732753731192,1.333532944089596,10.0,99.0,50.0,37,24,15,0,1
97.59738043116033,53.47196993396001,43.598556339761345,1.846394988163308,0.24339819617546507,0.2433985656166839,6.976632782380567,0.17746395391116368,0.004114584037111858,0.0,19.321033641358497,1.3967698870728895,10.0,98.0,53.0,40,25,16,0,1
111.89888167862834,115.47941449755827,57.09803364469082,2.1772846053577704,0.21172138967703494,0.21172057869737412,7.97202515959496,0.20289971854781214,0.004021871286075264,0.0,47.83122757157125,1.5972058477612765,10.0,112.0,116.0,49,26,17,0,1
112.23817336778774,115.02070451209714,72.1837794979306,2.210543005445784,0.15562366462412774,0.15562459754166977,7.370429717341198,0.18752163942964037,0.0008568550057099989,0.0,57.384676001778345,1.4758767265692523,10.0,112.0,115.0,50,27,17,1,1
111.68206167492465,115.13647150399373,60.89813448602449,2.2024527504689018,0.17507385870664513,0.17507495584238836,7.008742934624961,0.17828381331224993,0.0011216798837103404,0.0,51.50063549501027,1.4031111172789026,10.0,112.0,115.0,51,28,17,1,1
111.40398591574272,114.9838066787055,50.59156804867745,2.07918214920375,0.20501182135473447,0.20501377577096405,6.900359322606777,0.17551667727957337,0.0019814210092570566,0.0,46.233335687865036,1.3813310930681264,10.0,111.0,115.0,52,29,17,1,1
112.14085436451306,115.01142173135356,59.2459916197493,2.304412128472768,0.20488860692233082,0.20488914377596326,7.992912813239481,0.20343391552385895,0.003563942861041251,0.0,47.04753850914365,1.601277988057677,10.0,112.0,115.0,53,30,17,1,1
111.93351401451159,114.97031734262666,57.06010224452882,2.3448087606669987,0.18150399979102214,0.18150406022480162,6.767517302548471,0.17212575698175275,0.001125915660754894,0.0,47.27969298854368,1.3545467934875945,10.0,112.0,115.0,54,31,17,1,1
112.15618063544537,115.29311424113777,57.92101405945409,2.637792477526156,0.20925651199247228,0.20925549659134432,8.01009083366622,0.20387324916085714,0.003911398577781955,0.0,36.33970975452545,1.6047816838559872,10.0,112.0,115.0,55,32,17,1,1
112.3341294379241,116.2413668574419,67.40717211170629,2.3465500561616217,0.18840460726754685,0.18840512317860142,8.364854040424072,0.2129502880062809,0.0030587517201574057,0.0,31.86381006198282,1.6763813342239666,10.0,112.0,116.0,56,33,17,1,1
111.79273784050004,115.90226239253974,61.712191917030815,2.3603462925578933,0.1685592992311338,0.1685599236775894,6.8423954672331195,0.17403699804943878,0.0008752788841077351,0.0,54.49641739348942,1.3696229754394487,10.0,112.0,116.0,57,34,17,1,1
112.26677717384447,116.20771615972866,67.61856493396978,2.3254983814387455,0.18655220305820813,0.1865525739070385,8.285676179453867,0.2109239022030536,0.002829972961771406,0.0,28.068735264247234,1.6603698069478896,10.0,112.0,116.0,58,35,17,1,1
112.09202230199476,116.05603786823313,51.466797455616714,2.529631438572381,0.2425553407791302,0.2425555317799295,8.219929706072717,0.20924153386292257,0.007832712166244017,0.0,20.110379946258654,1.6470591399470786,10.0,112.0,116.0,59,36,17,1,1
112.48994512401762,116.55872089380212,78.03790429256934,2.2670335083868896,0.18333317014915682,0.18333264668792157,9.396626261774617,0.23938602133392273,0.004375982436164253,0.0,75.01983965711676,1.8850746833739846,10.0,113.0,117.0,60,37,17,1,1
112.61257138985867,116.07332703856608,48.01288077693561,2.5215296144750448,0.25048720016362275,0.2504894198392681,7.972039562433514,0.20290003159219278,0.00787919554315137,0.0,31.71869031892088,1.5971282547645815,10.0,113.0,116.0,61,38,17,1,1
112.12588712887002,116.52966720979005,57.243489547960635,2.3102122090278385,0.21495392510206637,0.21495339269624275,8.091073260804269,0.20594482359891186,0.004535133894857609,0.0,51.332650319476045,1.6212222022588352,10.0,112.0,116.0,62,39,17,1,1
