,centroid-0,centroid-1,orientation,axis_major_length,axis_minor_length,area,area_filled,eccentricity,intensity_mean,background,intensity_mean_mKO2,background_mKO2,intensity_mean_GFP,background_GFP,time
1,338.9449541284404,229.52293577981652,-1.2351534451304735,12.567647376639291,11.030279534968681,109,109,0.47926071933211156,1836.5045871559632,1098.6712173142835,14635.449541284404,1836.4492163130126,5731.981651376147,2471.770131320522,2460328.28479167
2,343.8636363636364,204.88636363636363,0.4498933552690011,11.65111772830465,9.65411150258405,88,88,0.5598416749223615,2025.784090909091,1098.6712173142835,7966.965909090909,1836.4492163130126,5900.511363636364,2471.770131320522,2460328.28479167
3,428.42857142857144,125.51020408163265,1.2626799253564365,13.032281187522264,9.597768738113624,98,98,0.6764798448289946,1393.2142857142858,1098.6712173142835,727.4183673469388,1836.4492163130126,8120.540816326531,2471.770131320522,2460328.28479167
4,125.7447619047619,443.3285714285714,-0.042422176137077085,46.76327776203092,28.620663037819142,1050,1050,0.7908323258750558,1531.3857142857144,1098.6712173142835,885.1371428571429,1836.4492163130126,773.5428571428571,2471.770131320522,2460328.28479167
5,406.72727272727275,118.07272727272728,0.14109937788750954,9.29376111121786,7.54540335870993,55,55,0.58382665094368,1658.7636363636364,1098.6712173142835,715.7454545454545,1836.4492163130126,7077.654545454546,2471.770131320522,2460328.28479167
6,363.5833333333333,283.78333333333336,1.0210738745180554,9.666469499095871,7.871709589885391,60,60,0.5804001890599095,1723.65,1098.6712173142835,16251.766666666666,1836.4492163130126,5704.833333333333,2471.770131320522,2460328.28479167
7,288.1166666666667,283.35,-0.3824193721155502,9.17978253092193,8.32389021074498,60,60,0.4216399608494403,2878.5,1098.6712173142835,4201.2,1836.4492163130126,7012.466666666666,2471.770131320522,2460328.28479167
8,283.82978723404256,270.51063829787233,1.2084264840975714,8.394122608019307,7.131659746431277,47,47,0.5274250394858943,3588.808510638298,1098.6712173142835,4485.765957446809,1836.4492163130126,7368.872340425532,2471.770131320522,2460328.28479167
9,342.97701149425285,325.367816091954,-0.076771891269778,11.05610907565226,9.997859461749032,87,87,0.42693202126730284,1605.2988505747126,1098.6712173142835,9941.045977011494,1836.4492163130126,4860.747126436781,2471.770131320522,2460328.28479167
10,452.79,348.88,-0.5650618910148928,13.29771880357467,9.632999253662206,100,100,0.6893694839118488,1486.11,1098.6712173142835,2520.89,1836.4492163130126,3211.27,2471.770131320522,2460328.28479167
11,324.3134328358209,279.67164179104475,0.4384070236742257,10.52786058912992,8.134230804642035,67,67,0.6348461947190276,1819.4179104477612,1098.6712173142835,7462.358208955224,1836.4492163130126,5597.164179104478,2471.770131320522,2460328.28479167
12,384.94520547945206,379.83561643835617,-0.17982293847871803,10.646727346328666,8.741474809108041,73,73,0.5708590779371421,1326.7945205479452,1098.6712173142835,2603.150684931507,1836.4492163130126,2250.8630136986303,2471.770131320522,2460328.28479167
13,482.825,280.775,-0.4024471500539454,7.313617153263508,6.957801674055519,40,40,0.3081156600862048,1796.75,1098.6712173142835,3378.675,1836.4492163130126,4278.025,2471.770131320522,2460328.28479167
14,362.75409836065575,330.27868852459017,0.08192784926775182,9.691169375780133,8.024691130152533,61,61,0.5606667049713655,1684.8524590163934,1098.6712173142835,13194.573770491803,1836.4492163130126,4660.508196721312,2471.770131320522,2460328.28479167
15,457.29545454545456,278.27272727272725,0.38697473150448897,12.005310385974909,9.352409521546685,88,88,0.6269956982217714,1500.0,1098.6712173142835,4991.625,1836.4492163130126,4657.0,2471.770131320522,2460328.28479167
16,493.0232558139535,272.4186046511628,-1.16137914125846,7.787554761690927,7.073191071713252,43,43,0.4183876683396646,1660.7441860465117,1098.6712173142835,3007.9302325581393,1836.4492163130126,3829.3953488372094,2471.770131320522,2460328.28479167
17,354.3939393939394,109.0909090909091,1.3344912082321656,6.889166216427033,6.09892390284152,33,33,0.465035517341297,1573.090909090909,1098.6712173142835,1118.8181818181818,1836.4492163130126,5129.484848484848,2471.770131320522,2460328.28479167
18,367.8490566037736,263.22641509433964,-0.14692988039932292,8.684948621646132,7.774542298553974,53,53,0.4457163633871306,1390.245283018868,1098.6712173142835,13863.283018867925,1836.4492163130126,5408.018867924528,2471.770131320522,2460328.28479167
19,298.31325301204816,277.1927710843373,0.39961404767992614,10.554503515906207,10.059067215020928,83,83,0.3027838571955658,1992.2048192771085,1098.6712173142835,4094.0361445783133,1836.4492163130126,6523.590361445783,2471.770131320522,2460328.28479167
20,339.4479166666667,268.0104166666667,-0.5806017455505232,11.562029102035565,10.603820576634652,96,96,0.39860078433758966,1450.84375,1098.6712173142835,15204.791666666666,1836.4492163130126,5533.59375,2471.770131320522,2460328.28479167
21,289.8222222222222,264.4,1.2475009781374735,8.2816621403879,6.863231653942303,45,45,0.5596540302118516,2308.511111111111,1098.6712173142835,4234.888888888889,1836.4492163130126,7004.177777777778,2471.770131320522,2460328.28479167
22,462.63157894736844,241.78947368421052,0.29945563086511595,7.501214322685864,6.538014538118198,38,38,0.4902281446789365,1761.921052631579,1098.6712173142835,4733.736842105263,1836.4492163130126,4430.8421052631575,2471.770131320522,2460328.28479167
