147,161,337,351
161,161,351,351
163,161,353,351
141,162,331,352
161,161,351,351
161,161,351,351
161,161,351,351
161,161,351,351
161,161,351,351
161,161,351,351
161,155,351,345
161,161,351,351
161,161,351,351
162,164,352,354
141,180,331,370
161,161,351,351
162,145,352,335
139,144,329,334
161,161,351,351
115,209,305,399
161,161,351,351
161,161,351,351
161,161,351,351
197,142,387,332
171,160,361,350
157,164,347,354
155,153,345,343
161,161,351,351
161,161,351,351
161,161,351,351
161,161,351,351
187,182,377,372
165,160,355,350
161,161,351,351
161,161,351,351
165,167,355,357
169,177,359,367
161,161,351,351
161,161,351,351
161,161,351,351
161,161,351,351
161,161,351,351
161,161,351,351
161,161,351,351
160,165,350,355
161,161,351,351
161,161,351,351
144,166,334,356
144,188,334,378
169,155,359,345
159,171,349,361
161,161,351,351
153,136,343,326
174,168,364,358
156,167,346,357
161,161,351,351
199,174,389,364
